event_dt,event_flg,event_name,event_f_cnt,event_m_cnt,event_link
2022-08-07,RUS,Триатлон Мужество Olympic 2022,4,37,/rus/result/nobrand/triatlon-muzhestvo/olympic/2022
2022-08-06,USA,Ironman Boulder 70.3 2022,601,1325,/rus/result/ironman/boulder/half/2022
2022-08-06,NED,Ironman Maastricht-Limburg 70.3 2022,284,1213,/rus/result/ironman/maastricht-limburg/half/2022
2022-08-06,EST,Ironman Tallinn 2022,111,539,/rus/result/ironman/tallinn/full/2022
2022-08-06,GBR,ITU World Cup Para Swansea Sprint 2022,27,70,/rus/result/itu/world-cup-para-swansea/sprint/2022
2022-07-31,CAN,Ironman Calgary 70.3 2022,105,345,/rus/result/ironman/calgary/half/2022
2022-07-31,USA,Ironman Maine 70.3 2022,390,805,/rus/result/ironman/maine/half/2022
2022-07-31,RUS,Uralman Olympic 2022,2,35,/rus/result/uralman/uralman/olympic/2022
2022-07-31,RUS,Uralman Sprint 2022,13,71,/rus/result/uralman/uralman/sprint/2022
2022-07-30,RUS,3Grom III этап кубка Московский Гром Sprint 2022,53,283,/rus/result/3grom/iii-этап-кубка-московский-гром/sprint/2022
2022-07-30,BLR,Минск триатлон Half 2022,25,239,/rus/result/nobrand/minsk-triatlon/half/2022
2022-07-30,BLR,Минск триатлон Olympic 2022,37,203,/rus/result/nobrand/minsk-triatlon/olympic/2022
2022-07-30,BLR,Минск триатлон Sprint 2022,39,133,/rus/result/nobrand/minsk-triatlon/sprint/2022
2022-07-30,RUS,Альметьевский триатлон Sprint 2022,31,167,/rus/result/nobrand/almetevskiy-triatlon/sprint/2022
2022-07-29,GBR,ITU Commonwealth Games Birmingham Sprint 2022,38,53,/rus/result/itu/commonwealth-games-birmingham/sprint/2022
2022-07-25,RUS,IronStar Калининград Half 2022,17,230,/rus/result/ironstar/kaliningrad/half/2022
2022-07-25,RUS,IronStar Калининград Sprint 2022,30,80,/rus/result/ironstar/kaliningrad/sprint/2022
2022-07-24,MAS,Ironman Desaru Coast 70.3 2022,86,710,/rus/result/ironman/desaru-coast/half/2022
